0||
1|Идентификатор|Описание
2|Aut02|Неверный пароль
3|Aut02|Неверный пароль
4|Aut02|Неверный пароль
5|Reg01|Регистрация пользователя
6|Reg01|Регистрация пользователя
7|Reg01|Регистрация пользователя
8|Dash01|Сводные метрики
9|Dash01|Сводные метрики
10|Dash01|Сводные метрики
11|Cli01|Список клиентов
12|Cli01|Список клиентов
13|Cli01|Список клиентов
14|Cli03|Создание клиента
15|Cli03|Создание клиента
16|Cli03|Создание клиента
17|Cli03|Создание клиента
18|Deal02|Создание сделки
19|Deal02|Создание сделки
20|Deal02|Создание сделки
21|Deal02|Создание сделки
22|Task01|Задачи на дату
23|Task01|Задачи на дату
24|Task01|Задачи на дату
25|Task02|Выполнение задачи
26|Task02|Выполнение задачи
27|Ui01|Навигация
28|Ui01|Навигация
29|Ui01|Навигация
30|Sec01|Доступ без авторизации
31|Sec01|Доступ без авторизации
